INSTNM,CITY,STATE,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL,TUITIONFEE_IN,TUITIONFEE_OUT
Design Institute of San Diego,San Diego,CA,0.8667,NULL,NULL,NULL,NULL,NULL,25649,25649
Diablo Valley College,Pleasant Hill,CA,NULL,NULL,NULL,NULL,NULL,NULL,1312,8564
Dominican University of California,San Rafael,CA,0.9134,520,610,510,610,1127,46940,46940
Dominican School of Philosophy & Theology,Berkeley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
East Los Angeles College,Monterey Park,CA,NULL,NULL,NULL,NULL,NULL,NULL,1220,8110
El Camino Community College District,Torrance,CA,NULL,NULL,NULL,NULL,NULL,NULL,1144,6880
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire College,Santa Rosa,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Evergreen Valley College,San Jose,CA,NULL,NULL,NULL,NULL,NULL,NULL,1358,7994
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,0.3624,NULL,NULL,NULL,NULL,NULL,32732,32732
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,0.4061,NULL,NULL,NULL,NULL,NULL,32732,32732
Feather River Community College District,Quincy,CA,NULL,NULL,NULL,NULL,NULL,NULL,1461,9441
Federico Beauty Institute,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fielding Graduate University,Santa Barbara,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Five Branches University,Santa Cruz,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Redondo Beach Beauty College,Redondo Beach,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Foothill College,Los Altos Hills,CA,NULL,NULL,NULL,NULL,NULL,NULL,1563,9528
Franciscan School of Theology,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fredrick and Charles Beauty College,Eureka,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fresno City College,Fresno,CA,NULL,NULL,NULL,NULL,NULL,NULL,1304,7664
Fresno Pacific University,Fresno,CA,0.6608,470,580,460,570,1042,32950,32950
Fuller Theological Seminary,Pasadena,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fullerton College,Fullerton,CA,NULL,NULL,NULL,NULL,NULL,NULL,1142,6398
Gavilan College,Gilroy,CA,NULL,NULL,NULL,NULL,NULL,NULL,1166,7214
Gemological Institute of America-Carlsbad,Carlsbad,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Glendale Community College,Glendale,CA,NULL,NULL,NULL,NULL,NULL,NULL,1175,6575
Glendale Career College,Glendale,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Golden Gate University-San Francisco,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Golden West College,Huntington Beach,CA,NULL,NULL,NULL,NULL,NULL,NULL,1180,7804
Graduate Theological Union,Berkeley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Grossmont College,El Cajon,CA,NULL,NULL,NULL,NULL,NULL,NULL,1330,8750
Salon Success Academy-Riverside,Riverside,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hartnell College,Salinas,CA,NULL,NULL,NULL,NULL,NULL,NULL,1420,8960
Harvey Mudd College,Claremont,CA,0.1367,710,770,780,800,1526,58660,58660
Hilltop Beauty School,Daly City,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Holy Names University,Oakland,CA,0.6325,280,330,440,550,851,40102,40102
Pacifica Graduate Institute,Carpinteria,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Humboldt State University,Arcata,CA,0.9217,490,610,480,590,1085,7864,19744
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,NULL,NULL,NULL,NULL,NULL,NULL,14580,14580
Imperial Valley College,Imperial,CA,NULL,NULL,NULL,NULL,NULL,NULL,1125,6093
Institute for Business and Technology,Santa Clara,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Interior Designers Institute,Newport Beach,CA,NULL,NULL,NULL,NULL,NULL,NULL,18250,18250
International School of Cosmetology,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Irvine Valley College,Irvine,CA,NULL,NULL,NULL,NULL,NULL,NULL,1144,6952
Bellus Academy-El Cajon,El Cajon,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
John F. Kennedy University,Pleasant Hill,CA,1,NULL,NULL,NULL,NULL,NULL,8500,8500
American Jewish University,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Reedley College,Reedley,CA,NULL,NULL,NULL,NULL,NULL,NULL,1304,7664
Life Pacific University,San Dimas,CA,0.9137,460,572,430,540,991,16592,16592
University of La Verne,La Verne,CA,0.5482,520,600,520,590,1113,44550,44550
Laguna College of Art and Design,Laguna Beach,CA,0.8097,NULL,NULL,NULL,NULL,NULL,31600,31600
Lake Tahoe Community College,South Lake Tahoe,CA,NULL,NULL,NULL,NULL,NULL,NULL,1224,8127
Lancaster Beauty School,Lancaster,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Laney College,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,1257,7785
Lassen Community College,Susanville,CA,NULL,NULL,NULL,NULL,NULL,NULL,1127,7487
Life Chiropractic College West,Hayward,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lincoln University,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,11230,11230
Southern California Seminary,El Cajon,CA,NULL,NULL,NULL,NULL,NULL,NULL,16884,16884
La Sierra University,Riverside,CA,0.552,460,580,450,570,1034,33570,33570
Loma Linda University,Loma Linda,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Long Beach City College,Long Beach,CA,NULL,NULL,NULL,NULL,NULL,NULL,1556,10676
Southern California University of Health Sciences,Whittier,CA,NULL,NULL,NULL,NULL,NULL,NULL,7150,7150
Los Angeles Harbor College,Wilmington,CA,NULL,NULL,NULL,NULL,NULL,NULL,1220,7746
Los Angeles Pierce College,Woodland Hills,CA,NULL,NULL,NULL,NULL,NULL,NULL,1220,8110
Los Angeles Southwest College,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,1220,8110
Los Angeles Trade Technical College,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,1220,8110
Los Angeles Valley College,Valley Glen,CA,NULL,NULL,NULL,NULL,NULL,NULL,1220,8110
The Master's University and Seminary,Santa Clarita,CA,0.6712,NULL,NULL,NULL,NULL,NULL,25350,25350
Los Angeles City College,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,1220,8110
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Los Angeles Mission College,Sylmar,CA,NULL,NULL,NULL,NULL,NULL,NULL,1220,8110
Los Medanos College,Pittsburg,CA,NULL,NULL,NULL,NULL,NULL,NULL,1312,8564
Loyola Marymount University,Los Angeles,CA,0.4384,620,700,610,710,1331,50683,50683
Lu Ross Academy,Ventura,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lyle's College of Beauty,Bakersfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lyle's College of  Beauty,Fresno,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lytles Redwood Empire Beauty College Inc,Santa Rosa,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MTI College,Sacramento,CA,0.8103,NULL,NULL,NULL,NULL,NULL,NULL,NULL
College of Marin,Kentfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,1494,9714
Marymount California University,Rancho Palos Verdes,CA,NULL,NULL,NULL,NULL,NULL,NULL,36134,36134
Mendocino College,Ukiah,CA,NULL,NULL,NULL,NULL,NULL,NULL,1423,7993
Menlo College,Atherton,CA,0.6272,NULL,NULL,NULL,NULL,NULL,44305,44305
Merced College,Merced,CA,NULL,NULL,NULL,NULL,NULL,NULL,1158,6318
Merritt College,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,1257,7785
Mills College,Oakland,CA,0.7585,505,675,500,615,1162,30877,30877
MiraCosta College,Oceanside,CA,NULL,NULL,NULL,NULL,NULL,NULL,1152,7512
Mission College,Santa Clara,CA,NULL,NULL,NULL,NULL,NULL,NULL,1192,6280
Modern Beauty Academy,Oxnard,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Modesto Junior College,Modesto,CA,NULL,NULL,NULL,NULL,NULL,NULL,1176,7536
Moler Barber College,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Middlebury Institute of International Studies at Monterey,Monterey,CA,NULL,NULL,NULL,NULL,NULL,1460,NULL,NULL
Monterey Peninsula College,Monterey,CA,NULL,NULL,NULL,NULL,NULL,NULL,1176,7536
Moorpark College,Moorpark,CA,NULL,NULL,NULL,NULL,NULL,NULL,1394,7398
Mt San Antonio College,Walnut,CA,NULL,NULL,NULL,NULL,NULL,NULL,1350,9610
Mount Saint Mary's University,Los Angeles,CA,0.8965,470,590,450,580,1044,42792,42792
Mt San Jacinto Community College District,San Jacinto,CA,NULL,NULL,NULL,NULL,NULL,NULL,1406,10256
Musicians Institute,Hollywood,CA,0.6871,NULL,NULL,NULL,NULL,NULL,24795,24795
Napa Valley College,Napa,CA,NULL,NULL,NULL,NULL,NULL,NULL,1142,7502
National Holistic Institute,Emeryville,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
National University,La Jolla,CA,0.8947,370,600,380,570,960,13320,13320
Naval Postgraduate School,Monterey,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Newschool of Architecture and Design,San Diego,CA,0.9836,NULL,NULL,NULL,NULL,NULL,28386,28386
Newberry School of Beauty,Granada Hills,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
North Adrian's College of Beauty Inc,Modesto,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
North-West College-Pomona,Pomona,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
North-West College-West Covina,West Covina,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
North-West College-Van Nuys,Van Nuys,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Notre Dame de Namur University,Belmont,CA,0.9994,450,550,440,530,989,36596,36596
Occidental College,Los Angeles,CA,0.3669,650,730,650,750,1386,56576,56576
Ohlone College,Fremont,CA,NULL,NULL,NULL,NULL,NULL,NULL,1164,7524
Orange Coast College,Costa Mesa,CA,NULL,NULL,NULL,NULL,NULL,NULL,1188,7836
Otis College of Art and Design,Los Angeles,CA,0.7817,NULL,NULL,NULL,NULL,1250,48380,48380
Oxnard College,Oxnard,CA,NULL,NULL,NULL,NULL,NULL,NULL,1394,7398
Hope International University,Fullerton,CA,0.3679,450,530,460,540,1005,33400,33400
Concorde Career College-San Diego,San Diego,CA,0.9096,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Palo Alto University,Palo Alto,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pacific Oaks College,Pasadena,CA,0.0511,NULL,NULL,NULL,NULL,NULL,13688,13688
Pacific School of Religion,Berkeley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pacific States University,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,17100,17100
Pacific Union College,Angwin,CA,0.5332,470,600,460,590,1067,30813,30813
University of the Pacific,Stockton,CA,0.6561,550,660,570,700,1251,49588,49588
Palo Verde College,Blythe,CA,NULL,NULL,NULL,NULL,NULL,NULL,1288,9330
Palomar College,San Marcos,CA,NULL,NULL,NULL,NULL,NULL,NULL,1338,8898
Pasadena City College,Pasadena,CA,NULL,NULL,NULL,NULL,NULL,NULL,1168,7552
Pepperdine University,Malibu,CA,0.3172,610,700,620,750,1349,55892,55892
Pitzer College,Claremont,CA,0.137,NULL,NULL,NULL,NULL,NULL,56018,56018
Platt College-San Diego,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,17235,17235
Point Loma Nazarene University,San Diego,CA,0.7366,580,650,560,660,1242,36950,36950
Pomona College,Claremont,CA,0.074,690,750,700,790,1480,54762,54762
Porterville College,Porterville,CA,NULL,NULL,NULL,NULL,NULL,NULL,1414,8284
Professional Institute of Beauty,El Monte,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Santa Ana College,Santa Ana,CA,NULL,NULL,NULL,NULL,NULL,NULL,1160,8360
Pardee RAND Graduate School,Santa Monica,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Shasta School of Cosmetology,Redding,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Redlands,Redlands,CA,0.7641,540,640,530,630,1186,50980,50980
College of the Redwoods,Eureka,CA,NULL,NULL,NULL,NULL,NULL,NULL,1182,6822
Salon Success Academy-Upland,Upland,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Salon Success Academy-Corona,Corona,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rio Hondo College,Whittier,CA,NULL,NULL,NULL,NULL,NULL,NULL,1360,8584
Riverside City College,Riverside,CA,NULL,NULL,NULL,NULL,NULL,NULL,1420,9370
Rosemead Beauty School,Rosemead,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dongguk University Los Angeles,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sacramento City College,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,1104,8928
Saddleback College,Mission Viejo,CA,NULL,NULL,NULL,NULL,NULL,NULL,1330,9590
Samuel Merritt University,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
San Diego City College,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,1144,7480
San Diego Mesa College,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,1144,7480
San Diego Miramar College,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,1144,7480
San Diego State University,San Diego,CA,0.3413,560,650,550,670,1221,7510,19390
University of San Diego,San Diego,CA,0.4869,600,680,590,690,1299,51186,51186
San Francisco Art Institute,San Francisco,CA,0.9033,NULL,NULL,NULL,NULL,NULL,46614,46614
San Francisco Conservatory of Music,San Francisco,CA,0.4758,NULL,NULL,NULL,NULL,NULL,47560,47560
San Francisco State University,San Francisco,CA,0.673,470,580,470,570,1046,7266,19146
University of Redlands Graduate School of Theology,San Anselmo,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of San Francisco,San Francisco,CA,0.6442,570,660,560,670,1236,50282,50282
San Joaquin College of Law,Clovis,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
San Joaquin Delta College,Stockton,CA,NULL,NULL,NULL,NULL,NULL,NULL,1288,8708
San Joaquin Valley College-Visalia,Visalia,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
William Jessup University,Rocklin,CA,0.6503,480,610,470,600,1085,34950,34950
San Jose City College,San Jose,CA,NULL,NULL,NULL,NULL,NULL,NULL,1362,9118
San Jose State University,San Jose,CA,0.6357,510,620,510,640,1139,7852,19732
College of San Mateo,San Mateo,CA,NULL,NULL,NULL,NULL,NULL,NULL,1434,9094
Santa Barbara Business College-Bakersfield,Bakersfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,11658,11658
Santa Barbara Business College-Santa Maria,Santa Maria,CA,NULL,NULL,NULL,NULL,NULL,NULL,11658,11658
Santa Barbara City College,Santa Barbara,CA,NULL,NULL,NULL,NULL,NULL,NULL,1374,8326
Santa Clara University,Santa Clara,CA,0.4882,630,700,650,740,1368,53634,53634
Santa Monica College,Santa Monica,CA,NULL,NULL,NULL,NULL,NULL,NULL,1144,8840
Santa Rosa Junior College,Santa Rosa,CA,NULL,NULL,NULL,NULL,NULL,NULL,1324,8170
Saybrook University,Pasadena,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Scripps College,Claremont,CA,0.32,673,740,660,750,1420,57188,57188
College of the Sequoias,Visalia,CA,NULL,NULL,NULL,NULL,NULL,NULL,1390,7830
Shasta Bible College and Graduate School,Redding,CA,1,NULL,NULL,NULL,NULL,NULL,12860,12860
Shasta College,Redding,CA,NULL,NULL,NULL,NULL,NULL,NULL,1186,6802
Sierra College,Rocklin,CA,NULL,NULL,NULL,NULL,NULL,NULL,1144,6214
Sierra College of Beauty,Merced,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Trinity Law School,Santa Ana,CA,NULL,NULL,NULL,NULL,NULL,1078,NULL,NULL
Simpson University,Redding,CA,0.5231,460,580,470,560,1041,31910,31910
College of the Siskiyous,Weed,CA,NULL,NULL,NULL,NULL,NULL,NULL,1156,7348
Charles A Jones Career and Education Center,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Skyline College,San Bruno,CA,NULL,NULL,NULL,NULL,NULL,NULL,1464,9654
San Bernardino Valley College,San Bernardino,CA,NULL,NULL,NULL,NULL,NULL,NULL,1238,5500
Saint Mary's College of California,Moraga,CA,0.81,540,630,520,610,1175,49188,49188
Solano Community College,Fairfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,1163,6607
Sonoma State University,Rohnert Park,CA,0.9119,490,590,480,580,1065,7880,19760
South Baylo University,Anaheim,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Coast College,Orange,CA,NULL,NULL,NULL,NULL,NULL,NULL,12665,12665
Vanguard University of Southern California,Costa Mesa,CA,0.4945,490,590,480,570,1070,35100,35100
Concorde Career College-Garden Grove,Garden Grove,CA,0.9522,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwestern College,Chula Vista,CA,NULL,NULL,NULL,NULL,NULL,NULL,1340,7472
St John's Seminary,Camarillo,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Starr King School for the Ministry,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Marshall B Ketchum University,Fullerton,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern California Institute of Architecture,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,45892,45892
University of Southern California,Los Angeles,CA,0.1142,670,740,690,790,1453,58195,58195
Southwestern Law School,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Taft College,Taft,CA,NULL,NULL,NULL,NULL,NULL,NULL,1104,6192
Claremont School of Theology,Claremont,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Thomas Aquinas College,Santa Paula,CA,0.7892,590,710,560,680,1284,25600,25600
Epic Bible College,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,9689,9689
United Education Institute-Huntington Park Campus,Huntington Park,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Concorde Career College-San Bernardino,San Bernardino,CA,0.9257,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Concorde Career College-North Hollywood,North Hollywood,CA,0.9139,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ventura College,Ventura,CA,NULL,NULL,NULL,NULL,NULL,NULL,1394,7398
The Santa Barbara and Ventura Colleges of Law at Ventura,Ventura,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Victor Valley College,Victorville,CA,NULL,NULL,NULL,NULL,NULL,NULL,1424,9164
Berkeley City College,Berkeley,CA,NULL,NULL,NULL,NULL,NULL,NULL,1257,7785
Walden University,Minneapolis,MN,NULL,NULL,NULL,NULL,NULL,NULL,12150,12150
Waynes College of Beauty,Salinas,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
West Hills College-Coalinga,Coalinga,CA,NULL,NULL,NULL,NULL,NULL,NULL,1380,9330
West Los Angeles College,Culver City,CA,NULL,NULL,NULL,NULL,NULL,NULL,1220,8110
West Valley College,Saratoga,CA,NULL,NULL,NULL,NULL,NULL,NULL,1484,9434
Carrington College-Sacramento,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Westminster Theological Seminary in California,Escondido,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Westmont College,Santa Barbara,CA,0.648,560,670,540,660,1222,46594,46594
Whittier College,Whittier,CA,0.5711,528,620,510,600,1135,49514,49514
Woodbury University,Burbank,CA,0.6633,470,620,470,600,1087,41182,41182
The Wright Institute,Berkeley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Thomas Jefferson School of Law,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,0.8158,NULL,NULL,NULL,NULL,NULL,15700,15700
Yuba College,Marysville,CA,NULL,NULL,NULL,NULL,NULL,NULL,1124,7484
The Salon Professional Academy-Grand Junction,Grand Junction,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Adams State University,Alamosa,CO,0.9909,450,550,440,540,1003,9440,20864
Aims Community College,Greeley,CO,NULL,NULL,NULL,NULL,NULL,NULL,1826,10418
Arapahoe Community College,Littleton,CO,NULL,NULL,NULL,NULL,NULL,NULL,3921,15009
Bel-Rea Institute of Animal Technology,Denver,CO,0.1401,NULL,NULL,NULL,NULL,NULL,12338,12338
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,0.6731,500,620,500,600,1124,9335,25823
University of Colorado Colorado Springs,Colorado Springs,CO,0.8719,510,620,510,610,1136,8524,20620
Spartan College of Aeronautics and Technology,Broomfield,CO,NULL,NULL,NULL,NULL,NULL,NULL,15530,15530
University of Colorado Boulder,Boulder,CO,0.7835,580,670,560,690,1276,12500,38318
Colorado Christian University,Lakewood,CO,NULL,NULL,NULL,NULL,NULL,NULL,33434,33434
Colorado College,Colorado Springs,CO,0.135,NULL,NULL,NULL,NULL,NULL,58086,58086
Concorde Career College-Aurora,Aurora,CO,0.6158,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Colorado Mountain College,Glenwood Springs,CO,NULL,NULL,NULL,NULL,NULL,NULL,2220,11172
Colorado Northwestern Community College,Rangely,CO,NULL,NULL,NULL,NULL,NULL,NULL,4018,6401
Colorado School of Mines,Golden,CO,0.5308,620,710,540,750,1342,19062,39762
Colorado School of Trades,Lakewood,CO,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Colorado State University-Fort Collins,Fort Collins,CO,0.8135,540,650,530,640,1204,11901,30622
Colorado Technical University-Colorado Springs,Colorado Springs,CO,NULL,NULL,NULL,NULL,NULL,NULL,12529,12529
Community College of Aurora,Aurora,CO,NULL,NULL,NULL,NULL,NULL,NULL,3840,14928
CollegeAmerica-Denver,Denver,CO,NULL,NULL,NULL,NULL,NULL,NULL,14585,14585
Technical College of the Rockies,Delta,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Community College of Denver,Denver,CO,NULL,NULL,NULL,NULL,NULL,NULL,4831,15911
Lincoln College of Technology-Denver,Denver,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Denver Seminary,Littleton,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Denver,Denver,CO,0.5871,590,670,580,680,1295,52515,52515
Emily Griffith Technical College,Denver,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fort Lewis College,Durango,CO,0.9138,500,610,480,590,1068,8872,19528
Front Range Community College,Westminster,CO,NULL,NULL,NULL,NULL,NULL,NULL,3986,15074
Iliff School of Theology,Denver,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
International Salon and Spa Academy,Colorado Springs,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lamar Community College,Lamar,CO,NULL,NULL,NULL,NULL,NULL,NULL,4000,6382
Colorado Mesa University,Grand Junction,CO,0.782,470,590,460,580,1063,8686,21619
Metropolitan State University of Denver,Denver,CO,0.613,450,560,440,550,1008,8151,21728
Morgan Community College,Fort  Morgan,CO,NULL,NULL,NULL,NULL,NULL,NULL,3738,14826
Naropa University,Boulder,CO,0.9852,NULL,NULL,NULL,NULL,NULL,33070,33070
Nazarene Bible College,Colorado Springs,CO,NULL,NULL,NULL,NULL,NULL,NULL,10080,10080
Northeastern Junior College,Sterling,CO,NULL,NULL,NULL,NULL,NULL,NULL,5072,7306
University of Northern Colorado,Greeley,CO,0.9084,490,610,480,590,1096,9987,22245
Otero Junior College,La Junta,CO,NULL,NULL,NULL,NULL,NULL,NULL,3986,6369
Pikes Peak Community College,Colorado Springs,CO,NULL,NULL,NULL,NULL,NULL,NULL,3842,14930
Pueblo Community College,Pueblo,CO,NULL,NULL,NULL,NULL,NULL,NULL,5179,16262
Red Rocks Community College,Lakewood,CO,NULL,NULL,NULL,NULL,NULL,NULL,4263,15350
Regis University,Denver,CO,0.7096,520,630,510,610,1157,38180,38180
Rocky Mountain College of Art and Design,Lakewood,CO,NULL,NULL,NULL,NULL,NULL,NULL,19670,19670
Montessori Education Center of the Rockies,Boulder,CO,0.9231,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Colorado State University Pueblo,Pueblo,CO,0.9303,470,570,470,560,1047,8407,21716
